,genre,year,title,duration,certificate,rating,voting
93,Romance,2024,94. Timestalker,1h 29m,15,5.5,3100
94,Romance,2024,95. Romance on the Ranch,1h 28m,,6.8,402000
95,Romance,2024,96. Teri Baaton Mein Aisa Uljha Jiya,2h 21m,PG,6.2,54000
96,Romance,2024,97. Wallbanger,1h 58m,,5.6,725000
97,Romance,2024,98. Private Tutor,1h 5m,,4.9,221000
98,Romance,2024,99. Chanchal Haseena,1h 38m,,7.5,38000
99,Romance,2024,100. Uranus 2324,2h 10m,,6.4,4900
100,Romance,2024,101. Mor Chhainha Bhuinya 2,2h 40m,,7.4,125000
101,Romance,2024,102. Silent Love,1h 56m,,6.4,424000
102,Romance,2024,103. Love Story,2h 5m,15,5.5,441000
103,Romance,2024,104. Three Friends,1h 57m,,6.6,837000
104,Romance,2024,105. Qalb,2h 27m,15,6.5,2400
105,Romance,2024,106. Amar Singh Chamkila,2h 25m,TV-MA,7.8,16000
106,Romance,2024,107. 3391 Kilometres,1h 50m,,4.3,1200
107,Romance,2024,108. This Time Next Year,1h 56m,12,5.6,2400
108,Romance,2024,109. A True Gentleman,1h 50m,,4.5,2300
109,Romance,2024,110. The Dead Thing,1h 34m,Unrated,4.8,1000
110,Romance,2024,111. Ajosepo,2h 14m,,8.9,69000
111,Romance,2024,112. Lyubvi ne byvaet?,1h 45m,,5.4,165000
112,Romance,2024,113. Siddharth Roy,2h 28m,,6.3,2900
113,Romance,2024,114. Art of Love,1h 39m,12,4.6,2500
114,Romance,2024,115. O Melhor Amigo,1h 36m,,6.5,125000
115,Romance,2024,116. Went Up the Hill,1h 40m,,6.6,87000
116,Romance,2024,117. Black Tea,1h 50m,,5.2,601000
117,Romance,2024,118. Another End,1h 59m,,6.4,832000
118,Romance,2024,119. Detective Conan: The Million-Dollar Pentagram,1h 51m,15,6.7,1600
119,Romance,2024,120. Bachhala Malli,2h 20m,15,8.2,3900
120,Romance,2024,121. Take My Hand,1h 42m,,6.3,336000
121,Romance,2024,122. Two to One,1h 56m,,6.1,831000
122,Romance,2024,123. I've Never Wanted Anyone More,1h 41m,15,5.6,274000
123,Romance,2024,124. Layla,1h 40m,15,6.1,458000
124,Romance,2024,125. My Ex's Wedding,1h 35m,,8.8,54000
125,Romance,2024,126. The Best Christmas Pageant Ever,1h 39m,PG,6.8,6300
126,Romance,2024,127. First Taste,1h 37m,,5.7,319000
127,Romance,2024,128. The Southern Chronicles,2h,15,8.7,2900
128,Romance,2024,129. Drawing Closer,1h 58m,12,7.6,2800
129,Romance,2024,130. Bad Newz,2h 22m,12A,4.7,26000
130,Romance,2024,131. Mascarpone: The Rainbow Cake,1h 45m,,6.0,536000
131,Romance,2024,132. Else,1h 42m,,6.0,276000
132,Romance,2024,133. The Air He Breathes,1h 46m,,6.5,421000
133,Romance,2024,134. Freedom,1h 50m,15,5.9,1400
134,Romance,2024,135. Lesbian Space Princess,1h 27m,,7.2,184000
135,Romance,2024,136. Passport to Love,1h 28m,,6.2,426000
136,Romance,2024,137. Angithee 3,1h 39m,,8.1,64000
137,Romance,2024,138. Turn Me On,1h 39m,15,5.6,656000
138,Romance,2024,139. The Island,2h 8m,15,4.8,510000
139,Romance,2024,140. Her Seyin Basi Merkür,1h 45m,12,3.3,426000
140,Romance,2024,141. Gelin Takimi,1h 49m,12A,3.9,5900
141,Romance,2024,142. Badaa Saat Fi Yawman Ma,1h 40m,,5.8,300000
142,Romance,2024,143. City Hunter,1h 42m,TV-MA,6.3,5700
143,Romance,2024,144. 0000 Kilometre,1h 50m,,2.7,264000
144,Romance,2024,145. Ek Anjaan Rishtey Ka Guilt 3,1h 44m,,8.0,70000
145,Romance,2024,146. Savi,2h 6m,15,6.1,35000
146,Romance,2024,147. Intoxicated by Love,1h 58m,,8.5,14000
147,Romance,2024,148. Ashes,1h 40m,15,4.3,2700
148,Romance,2024,149. Phir Aayi Hasseen Dillruba,2h 12m,15,5.8,7000
149,Romance,2024,150. Kacher Manush Dure Thuiya,2h 24m,,7.8,1200
150,Romance,2024,151. Honey Money Phony,1h 55m,,6.2,217000
151,Romance,2024,152. Darkest Miriam,1h 27m,,5.8,318000
152,Romance,2024,153. ¿Quién quiere casarse con un Astronauta?,1h 34m,,7.2,18000
153,Romance,2024,154. Sihina Nelum Mal,1h 45m,,8.0,35000
154,Romance,2024,"155. Love, Sitara",1h 45m,,5.3,307000
155,Romance,2024,156. A Christmas Castle Proposal: A Royal in Paradise 2,0h,,6.4,341000
156,Romance,2024,157. Perfect Endings,1h 40m,,5.5,225000
157,Romance,2024,158. This Is Me... Now,1h 5m,12,4.1,7200
158,Romance,2024,159. I Can Never Be Yours,0h,,7.9,175000
159,Romance,2024,160. Given Movie 3: Umi e,1h 20m,,7.6,129000
160,Romance,2024,161. Krista,58m,,5.6,59000
161,Romance,2024,"162. Hello, Love, Again",2h 2m,12A,6.7,940000
162,Romance,2024,163. We're All Gonna Die,1h 50m,R,8.2,97000
163,Romance,2024,164. Undergrads,1h 6m,,5.1,65000
164,Romance,2024,165. My Name Is Loh Kiwan,2h 11m,15,6.7,4500
165,Romance,2024,166. Bau: Artist at War,2h 10m,12,7.2,64000
166,Romance,2024,167. Mr. Bachchan,2h 30m,15,3.6,5300
167,Romance,2024,168. Meet Me Next Christmas,1h 45m,PG,5.7,8600
168,Romance,2024,169. The Great Gujarati Matrimony,2h 24m,,7.6,92000
169,Romance,2024,170. Goyo,1h 46m,15,6.6,2300
170,Romance,2024,171. Langue Étrangère,1h 41m,,6.6,562000
171,Romance,2024,172. A Vintage Christmas,0h,,6.5,368000
172,Romance,2024,173. The Groomsmen Last Dance,1h 24m,TV-G,6.9,375000
173,Romance,2024,174. Los pequeños amores,1h 35m,,6.3,374000
174,Romance,2024,175. The Everything Pot,1h 30m,,7.5,35000
175,Romance,2024,176. Happiness Is,1h 36m,15,3.8,308000
176,Romance,2024,177. The Time of Fever,1h 41m,,8.0,739000
177,Romance,2024,178. Given the Movie: Hiiragi Mix,1h 10m,,7.6,229000
178,Romance,2024,179. A Circus Tale & a Love Song,1h 54m,,5.9,111000
179,Romance,2024,180. Explosions in My Heart,1h 45m,,6.8,44000
180,Romance,2024,181. Seni Memahami Kekasih,1h 31m,,8.0,63000
181,Romance,2024,182. Skinny Love,1h 32m,,5.6,108000
182,Romance,2024,183. Teasing Master Takagi-san Movie,1h 59m,,6.6,344000
183,Romance,2024,184. Throuple,1h 32m,,6.5,71000
184,Romance,2024,185. Guilty Pleasure,1h 59m,18,4.7,172000
185,Romance,2024,186. Cinderella's Revenge,1h 25m,,3.7,1200
186,Romance,2024,187. Boys on Film 24: Happy Endings,2h 54m,,7.0,29000
187,Romance,2024,188. Murder Mubarak,2h 20m,15,5.8,51000
188,Romance,2024,189. Amo-te Imenso,1h 27m,,5.7,90000
189,Romance,2024,190. Samudrudu,2h 21m,,6.8,2000
190,Romance,2024,191. To Love and to Cherish,1h 17m,,0.0,0
191,Romance,2024,192. Meeting Funmi's Parents,0h,,8.7,17000
192,Romance,2024,193. Blame the Game,1h 32m,15,5.4,5300
193,Romance,2024,194. Cinderella's Curse,1h 22m,18,3.4,1400
194,Romance,2024,195. Swap,1h 26m,18,2.9,367000
195,Romance,2024,196. Why Do You?,1h 43m,,5.3,470000
196,Romance,2024,197. Auron Mein Kahan Dum Tha,2h 30m,15,6.4,41000
197,Romance,2024,198. My Future You,1h 49m,TV-PG,7.5,290000
198,Romance,2024,199. From Contract Lover to the Billionaire's Bride,1h 24m,,6.9,553000
199,Romance,2024,200. Ipar Adalah Maut,2h 11m,,7.0,1300
200,Romance,2024,201. Tillu Square,2h 17m,12A,6.6,3500
201,Romance,2024,202. Stag,1h 27m,,5.3,476000
