,genre,year,title,duration,certificate,rating,voting
80,Animation,2024,81. Grand Theft Hamlet,1h 29m,15,6.9,2200
81,Animation,2024,82. Rebellious,1h 34m,PG,6.1,236000
82,Animation,2024,83. No Time to Spy: A Loud House Movie,1h 21m,PG,6.3,498000
83,Animation,2024,84. Elli and the Ghostly Ghost Train,1h 26m,,5.1,109000
84,Animation,2024,85. Dalia y el Libro Rojo,1h 47m,,5.9,149000
85,Animation,2024,86. Hola Frida,1h 22m,,7.1,45000
86,Animation,2024,87. Dongeng Sang Kancil,1h 39m,15,6.6,223000
87,Animation,2024,88. Gracie and Pedro: Pets to the Rescue,1h 27m,PG,5.0,289000
88,Animation,2024,89. Appu,1h 32m,,8.1,189000
89,Animation,2024,90. Ado Special Live Shinzou in Cinema,2h 20m,,9.4,44000
90,Animation,2024,91. Mobile Suit Gundam SEED Freedom,2h 4m,15,6.6,981000
91,Animation,2024,92. Diplodocus,1h 33m,,6.3,197000
92,Animation,2024,93. The Quintessential Quintuplets Specials 2,46m,,6.9,159000
93,Animation,2024,94. Double Tuckerr,2h,,5.0,1300
94,Animation,2024,95. Giants of La Mancha,1h 28m,U,6.2,581000
95,Animation,2024,96. Uma Musume: Pretty Derby - Beginning of a New Era,1h 48m,,7.4,153000
96,Animation,2024,97. The Lost Tiger,1h 30m,,7.9,53000
97,Animation,2024,98. Luo Fan Chen,1h 58m,,7.0,246000
98,Animation,2024,99. The Casagrandes Movie,1h 29m,PG,5.6,694000
99,Animation,2024,100. Fureru,1h 47m,,6.2,57000
100,Animation,2024,101. Ghost Cat Anzu,1h 37m,,6.5,858000
101,Animation,2024,102. Living Large,1h 20m,,7.0,174000
102,Animation,2024,103. Mariposas Negras,1h 23m,,7.1,73000
103,Animation,2024,104. Sabbath Queen,1h 45m,,7.9,71000
104,Animation,2024,105. Boonie Bears: Time Twist,1h 45m,PG,6.0,177000
105,Animation,2024,106. Kizumonogatari: Koyomi Vamp,2h 24m,16+,7.0,108000
106,Animation,2024,107. Peppa's Cinema Party,1h 5m,U,4.9,157000
107,Animation,2024,108. Toemalog,1h 25m,,6.3,129000
108,Animation,2024,109. Inanimate Insanity II: The Movie,1h 46m,PG,8.2,248000
109,Animation,2024,110. The Magic Reindeer Saving Santa's Sleigh,1h 26m,Not Rated,6.1,353000
110,Animation,2024,111. Little Emma,1h 46m,TV-PG,5.4,134000
111,Animation,2024,112. Dragon Ball Kai: Doragon Bôru Kai,1h 22m,,8.6,87000
112,Animation,2024,"113. Maya, donne-moi un titre",1h 1m,,6.3,63000
113,Animation,2024,114. Out of the Nest,1h 24m,,6.5,126000
114,Animation,2024,115. Kid Santa,0h,,0.0,0
115,Animation,2024,116. The Proud Princess,1h 24m,,6.4,139000
116,Animation,2024,117. (S)KiDS,1h 25m,,8.4,144000
117,Animation,2024,118. TWST: Things We Said Today,1h 26m,,7.0,68000
118,Animation,2024,119. SuperKlaus,1h 28m,U,4.4,205000
